latitud,longitud,co2,fecha
14.599791,-90.5603007,717,2017-10-0914:03:04
14.600165,-90.5613953,105,2017-10-0914:03:05
14.600617,-90.5621353,89,2017-10-0914:03:06
14.60123,-90.5626773,54,2017-10-0914:03:07
14.602154,-90.5626453,115,2017-10-0914:03:08
14.602154,-90.5626453,103,2017-10-0914:03:09
14.603306,-90.5619693,126,2017-10-0914:03:10
14.6051149,-90.5603469,136,2017-10-0914:03:11
14.604715,-90.5609583,75,2017-10-0914:03:12
14.605338,-90.5605023,147,2017-10-0914:03:13
14.606263,-90.5599273,89,2017-10-0914:03:14
14.607182,-90.5591653,65,2017-10-0914:03:15
14.608106,-90.5585483,71,2017-10-0914:03:16
14.608615, -90.5581243,138,2017-10-0914:03:17
14.609274,-90.5577433,127,2017-10-0914:03:18
14.6117038 ,-90.5554317,83,2017-10-0914:03:19
14.611086,-90.5565153,139,2017-10-0914:03:20
14.611719,-90.5560973,135,2017-10-0914:03:21
14.611719,-90.5560973,79,2017-10-0914:03:22
14.612887,-90.5555983,63,2017-10-0914:03:23
14.613681 ,-90.5553033,564,2017-10-0914:03:24
14.614631,-90.5552983,55,2017-10-0914:03:25
14.618472,-90.5579157,96,2017-10-0914:03:26
14.619437,-90.5585167,92,2017-10-0914:03:27
14.620683,-90.5592247,128,2017-10-0914:03:28
14.62141,-90.5596217,117,2017-10-0914:03:29
14.62276 ,-90.5600397,148,2017-10-0914:03:30
14.623372,-90.5605227,92,2017-10-0914:03:31
14.623756,-90.5604157,144,2017-10-0914:03:32
14.623559,-90.5608987,138,2017-10-0914:03:33
14.623403,-90.5611777,82,2017-10-0914:03:34
14.622832,-90.5621437,111,2017-10-0914:03:35
14.622375,-90.5621757,122,2017-10-0914:03:36
14.621534,-90.5616817,488,2017-10-0914:03:37
14.621212,-90.5612097,147,2017-10-0914:03:38
14.621866,-90.5600727,99,2017-10-0914:03:39
14.620039,-90.5591287,79,2017-10-0914:03:40
14.617329 ,-90.5577767,146,2017-10-0914:03:41
14.599791,-90.5603007,143,2017-10-0914:03:42
14.600165,-90.5613953,82,2017-10-0914:03:43
14.600617,-90.5621353,74,2017-10-0914:03:44
14.60123,-90.5626773,51,2017-10-0914:03:45
14.602154,-90.5626453,137,2017-10-0914:03:46
14.602154,-90.5626453,75,2017-10-0914:03:47
14.603306,-90.5619693,66,2017-10-0914:03:48
14.6051149,-90.5603469,118,2017-10-0914:03:49
14.604715,-90.5609583,53,2017-10-0914:03:50
14.605338,-90.5605023,133,2017-10-0914:03:51
14.606263,-90.5599273,69,2017-10-0914:03:52
14.607182,-90.5591653,59,2017-10-0914:03:53
14.608106,-90.5585483,81,2017-10-0914:03:54
14.608615, -90.5581243,348,2017-10-0914:03:55
14.609274,-90.5577433,139,2017-10-0914:03:56
14.6117038 ,-90.5554317,93,2017-10-0914:03:57
14.611086,-90.5565153,69,2017-10-0914:03:58
14.611719,-90.5560973,70,2017-10-0914:03:59
14.611719,-90.5560973,96,2017-10-0914:04:00
14.612887,-90.5555983,104,2017-10-0914:04:01
14.613681 ,-90.5553033,117,2017-10-0914:04:02
14.614631,-90.5552983,137,2017-10-0914:04:03
14.618472,-90.5579157,68,2017-10-0914:04:04
14.619437,-90.5585167,68,2017-10-0914:04:05
14.620683,-90.5592247,67,2017-10-0914:04:06
14.62141,-90.5596217,62,2017-10-0914:04:07
14.62276 ,-90.5600397,144,2017-10-0914:04:08
14.623372,-90.5605227,369,2017-10-0914:04:09
14.623756,-90.5604157,80,2017-10-0914:04:10
14.623559,-90.5608987,66,2017-10-0914:04:11
14.623403,-90.5611777,114,2017-10-0914:04:12
14.622832,-90.5621437,80,2017-10-0914:04:13
14.622375,-90.5621757,132,2017-10-0914:04:14
14.621534,-90.5616817,86,2017-10-0914:04:15
14.621212,-90.5612097,134,2017-10-0914:04:16
14.621866,-90.5600727,116,2017-10-0914:04:17
14.620039,-90.5591287,127,2017-10-0914:04:18
14.617329 ,-90.5577767,88,2017-10-0914:04:19
14.599791,-90.5603007,133,2017-10-0914:04:20
14.600165,-90.5613953,89,2017-10-0914:04:21
14.600617,-90.5621353,83,2017-10-0914:04:22
14.60123,-90.5626773,102,2017-10-0914:04:23
14.602154,-90.5626453,60,2017-10-0914:04:24
14.602154,-90.5626453,136,2017-10-0914:04:25
14.603306,-90.5619693,82,2017-10-0914:04:26
14.6051149,-90.5603469,144,2017-10-0914:04:27
14.604715,-90.5609583,121,2017-10-0914:04:28
14.605338,-90.5605023,271,2017-10-0914:04:29
14.606263,-90.5599273,139,2017-10-0914:04:30
14.607182,-90.5591653,62,2017-10-0914:04:31
14.608106,-90.5585483,77,2017-10-0914:04:32
14.608615, -90.5581243,128,2017-10-0914:04:33
14.609274,-90.5577433,131,2017-10-0914:04:34
14.6117038 ,-90.5554317,110,2017-10-0914:04:35
14.611086,-90.5565153,51,2017-10-0914:04:36
14.611719,-90.5560973,98,2017-10-0914:04:37
14.611719,-90.5560973,112,2017-10-0914:04:38
14.612887,-90.5555983,121,2017-10-0914:04:39
14.613681 ,-90.5553033,125,2017-10-0914:04:40
14.614631,-90.5552983,56,2017-10-0914:04:41
14.618472,-90.5579157,126,2017-10-0914:04:42
14.619437,-90.5585167,90,2017-10-0914:04:43
14.620683,-90.5592247,68,2017-10-0914:04:44
14.62141,-90.5596217,117,2017-10-0914:04:45
14.62276 ,-90.5600397,104,2017-10-0914:04:46
14.623372,-90.5605227,86,2017-10-0914:04:47
14.623756,-90.5604157,105,2017-10-0914:04:48
14.623559,-90.5608987,136,2017-10-0914:04:49
14.623403,-90.5611777,148,2017-10-0914:04:50
14.622832,-90.5621437,96,2017-10-0914:04:51
14.622375,-90.5621757,106,2017-10-0914:04:52
14.621534,-90.5616817,78,2017-10-0914:04:53
14.621212,-90.5612097,112,2017-10-0914:04:54
14.621866,-90.5600727,121,2017-10-0914:04:55
14.620039,-90.5591287,137,2017-10-0914:04:56
14.617329 ,-90.5577767,74,2017-10-0914:04:57
14.599791,-90.5603007,91,2017-10-0914:04:58
14.600165,-90.5613953,133,2017-10-0914:04:59
14.600617,-90.5621353,59,2017-10-0914:05:00
14.60123,-90.5626773,102,2017-10-0914:05:01
14.602154,-90.5626453,148,2017-10-0914:05:02
14.602154,-90.5626453,126,2017-10-0914:05:03
14.603306,-90.5619693,57,2017-10-0914:05:04
14.6051149,-90.5603469,61,2017-10-0914:05:05
14.604715,-90.5609583,136,2017-10-0914:05:06
14.605338,-90.5605023,100,2017-10-0914:05:07
14.606263,-90.5599273,52,2017-10-0914:05:08
14.607182,-90.5591653,387,2017-10-0914:05:09
14.608106,-90.5585483,120,2017-10-0914:05:10
14.608615, -90.5581243,112,2017-10-0914:05:11
14.609274,-90.5577433,144,2017-10-0914:05:12
14.6117038 ,-90.5554317,64,2017-10-0914:05:13
14.611086,-90.5565153,68,2017-10-0914:05:14
14.611719,-90.5560973,55,2017-10-0914:05:15
14.611719,-90.5560973,140,2017-10-0914:05:16
14.612887,-90.5555983,144,2017-10-0914:05:17
14.613681 ,-90.5553033,99,2017-10-0914:05:18
14.614631,-90.5552983,84,2017-10-0914:05:19
14.618472,-90.5579157,129,2017-10-0914:05:20
